URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1.0,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,27,19,0.17,0.11,17.7,0.18,7.152,17.74,73,408,1.963235294117647,4,5.097982708933718
2.0,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,32,12,0.45,0.12,13.9,0.24,5.656000000000001,13.89,89,375,2.1013333333333333,2,5.298555377207062
3.0,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,109,41,0.45,0.14,14.0,0.22,5.688000000000001,14.03,230,1066,2.095684803001876,13,5.367521367521367
4.0,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,17,3,0.7,0.08,17.6,0.26,7.144000000000002,17.57,64,246,2.1504065040650406,1,5.2995283018867925
5.0,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,43,20,0.37,0.16,10.8,0.22,4.408,10.76,88,398,2.0879396984924625,21,4.990084985835694
6.0,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,59,22,0.46,0.12,14.6,0.22,5.928000000000001,14.64,152,688,2.1656976744186047,3,5.405967450271247
7.0,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,74,56,0.14,0.15,14.6,0.18,5.912,14.62,154,877,2.135689851767389,1,5.566844919786096
8.0,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,59,25,0.4,0.11,13.7,0.19,5.556,13.68,151,780,2.1705128205128204,8,5.2217125382263
9.0,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,84,26,0.53,0.14,11.4,0.18,4.632000000000001,11.37,144,807,2.0991325898389097,3,5.281992337164751
10.0,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,36,33,0.04,0.21,9.7,0.18,3.952,9.71,61,330,1.9848484848484849,2,4.955403087478559
11.0,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,44,14,0.52,0.15,11.9,0.17,4.828,11.88,66,380,2.1894736842105265,3,5.22488038277512
12.0,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,52,47,0.05,0.14,10.2,0.16,4.144,10.21,108,694,1.9495677233429394,30,4.955835962145111
13.0,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,16,12,0.14,0.11,10.0,0.24,4.096,10.0,61,250,2.104,0,5.196078431372549
14.0,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,26,8,0.53,0.11,11.9,0.27,4.868,11.88,84,309,2.2524271844660193,5,5.241007194244604
15.0,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,57,63,-0.05,0.16,8.3,0.18,3.3920000000000003,8.3,136,764,2.079842931937173,7,4.995658465991317
16.0,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,48,23,0.35,0.15,14.0,0.19,5.676,13.97,94,489,1.9979550102249488,6,4.8680479825518
17.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,103,47,0.37,0.13,15.3,0.21,6.204000000000001,15.32,246,1149,2.144473455178416,1,5.671742808798647
18.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,95,45,0.36,0.19,9.5,0.17,3.8680000000000003,9.48,130,749,1.938584779706275,7,4.854181558255897
19.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,86,52,0.25,0.14,11.7,0.22,4.768,11.74,217,986,2.2302231237322516,3,5.409144893111639
20.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,107,55,0.32,0.19,9.5,0.16,3.8640000000000003,9.51,135,865,1.9410404624277457,17,4.805415617128464
21.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,89,44,0.34,0.14,12.2,0.19,4.9559999999999995,12.2,173,927,2.083063646170442,16,5.0928994082840235
22.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,68,36,0.31,0.16,11.9,0.22,4.848000000000001,11.87,141,653,2.029096477794793,21,5.005695687550855
23.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,35,14,0.43,0.12,9.2,0.18,3.752,9.16,74,403,2.0521091811414394,7,5.0550964187327825
24.0,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,81,52,0.22,0.16,12.2,0.19,4.9559999999999995,12.24,159,820,2.0609756097560976,18,5.097744360902255
25.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,51,21,0.42,0.19,10.9,0.13,4.412000000000001,10.89,51,381,1.832020997375328,2,4.825214899713467
26.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,122,79,0.21,0.17,15.0,0.17,6.0680000000000005,14.96,203,1197,2.0292397660818713,11,4.943616029822927
27.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,96,110,-0.07,0.19,11.9,0.15,4.82,11.91,160,1072,2.012126865671642,1,5.172752043596731
28.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,62,40,0.22,0.15,11.9,0.2,4.84,11.91,135,679,2.1944035346097204,10,5.435897435897436
29.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,60,41,0.19,0.14,9.1,0.16,3.704,9.06,117,725,1.9765517241379311,6,5.035655058043118
30.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,83,33,0.43,0.14,13.8,0.16,5.5840000000000005,13.78,135,827,2.045949214026602,32,4.820450395617772
31.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,93,36,0.44,0.15,10.8,0.2,4.4,10.79,172,863,2.0880648899188876,11,5.13407455853499
32.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,33,4,0.78,0.12,14.5,0.2,5.88,14.52,60,305,2.1278688524590166,0,5.424849699398798
33.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,125,53,0.4,0.2,113.8,0.18,45.592000000000006,113.75,160,910,1.968131868131868,15,4.78742348358375
34.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,46,15,0.51,0.14,9.4,0.16,3.8240000000000003,9.36,68,421,2.0760095011876483,0,5.09261744966443
35.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,20,8,0.43,0.07,10.2,0.19,4.156,10.18,78,407,2.27027027027027,1,5.437945791726105
36.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,5,6,-0.09,0.11,17.3,0.21,7.004000000000001,17.33,22,104,2.0673076923076925,2,5.372781065088757
37.0,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,58,49,0.08,0.19,11.3,0.21,4.604000000000001,11.27,120,575,2.0208695652173914,31,5.15960591133005
38.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,56,100,-0.28,0.2,13.9,0.18,5.632000000000001,13.87,137,763,2.001310615989515,2,5.098828696925329
39.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,28,26,0.04,0.14,14.2,0.21,5.764,14.18,83,397,1.9798488664987406,4,4.949509116409537
40.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,89,60,0.19,0.15,8.9,0.14,3.6160000000000005,8.87,137,967,2.0196483971044468,10,4.848966613672496
41.0,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,54,5,0.83,0.16,8.5,0.2,3.48,8.53,75,367,2.0708446866485013,4,5.128482972136223
42.0,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,12,6,0.33,0.08,13.9,0.14,5.6160000000000005,13.88,32,222,1.7882882882882882,0,4.997260273972603
43.0,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,36,14,0.44,0.11,13.1,0.15,5.300000000000001,13.15,67,447,1.9217002237136465,4,4.8192019950124685
45.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,20,11,0.29,0.11,15.0,0.24,6.096,15.0,69,285,2.049122807017544,1,5.251612903225807
46.0,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,31,9,0.55,0.22,6.8,0.2,2.8000000000000003,6.81,36,184,2.0706521739130435,0,5.127320954907161
47.0,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,6,0,1.0,0.07,8.9,0.25,3.66,8.9,22,89,2.393258426966292,1,5.339869281045751
48.0,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,37,45,-0.1,0.2,7.4,0.16,3.0240000000000005,7.38,64,406,1.8694581280788178,19,4.742177722152691
49.0,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,15,6,0.43,0.22,10.8,0.13,4.372000000000001,10.78,13,97,1.7731958762886597,1,4.645714285714286
50.0,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,54,15,0.57,0.17,13.1,0.21,5.324000000000001,13.13,86,407,2.1867321867321867,0,5.576119402985075
51.0,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,3,8,-0.45,0.15,14.6,0.15,5.9,14.6,11,73,1.7671232876712328,3,4.652777777777778
52.0,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,12,28,-0.4,0.23,8.4,0.18,3.4320000000000004,8.43,31,177,2.016949152542373,6,4.579088471849866
53.0,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,50,68,-0.15,0.12,13.3,0.23,5.412000000000001,13.26,225,968,2.2014462809917354,15,5.364540667056758
54.0,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,68,34,0.33,0.12,12.9,0.18,5.232,12.88,155,876,1.9052511415525115,19,4.733908045977011
55.0,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,66,48,0.16,0.14,9.8,0.17,3.9880000000000004,9.83,139,796,1.8668341708542713,18,4.848337950138504
56.0,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,30,11,0.46,0.11,6.2,0.18,2.552,6.25,68,381,1.9238845144356955,1,4.506432748538011
57.0,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,66,18,0.57,0.13,10.1,0.16,4.104,10.09,108,656,1.920731707317073,4,4.564285714285714
58.0,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,42,8,0.68,0.22,14.0,0.2,5.68,14.0,44,224,2.03125,8,4.670281995661605
59.0,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,71,39,0.29,0.12,13.5,0.18,5.472,13.46,166,929,2.029063509149623,8,5.143580012650221
60.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,50,85,-0.26,0.27,6.6,0.17,2.708,6.55,87,498,1.8875502008032128,13,4.780163599182004
61.0,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,77,30,0.44,0.19,7.3,0.1,2.96,7.34,56,558,1.7688172043010753,5,4.532258064516129
62.0,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,25,37,-0.19,0.11,13.3,0.1,5.36,13.33,59,573,1.7731239092495636,2,4.795454545454546
63.0,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,42,36,0.08,0.13,10.4,0.2,4.24,10.37,123,622,2.188102893890675,9,5.247663551401869
64.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,50,91,-0.29,0.27,7.1,0.18,2.912,7.12,94,513,1.9025341130604287,15,4.80938123752495
65.0,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,34,20,0.26,0.16,12.0,0.21,4.884,12.0,74,348,1.9655172413793103,5,4.812312312312312
66.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,10,9,0.05,0.12,13.8,0.21,5.604000000000001,13.82,32,152,2.013157894736842,0,4.8788927335640135
67.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,34,26,0.13,0.14,17.9,0.2,7.239999999999999,17.92,86,430,2.0325581395348835,0,5.25
68.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,44,50,-0.06,0.14,12.1,0.18,4.912,12.12,121,679,1.9101620029455082,5,5.071487946799667
69.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,63,31,0.34,0.05,10.5,0.07,4.228000000000001,10.49,133,2036,1.762770137524558,0,5.053897685749086
70.0,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,57,72,-0.12,0.14,11.1,0.18,4.512,11.11,165,911,2.023051591657519,10,4.979178716020821
71.0,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,45,83,-0.3,0.14,15.2,0.21,6.164000000000001,15.2,185,897,2.1248606465997772,0,5.466530054644808
72.0,https://insights.blackcoffer.com/human-rights-outlook/,7,3,0.4,0.14,10.3,0.17,4.188000000000001,10.29,12,72,1.7361111111111112,2,4.524822695035461
73.0,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,62,23,0.46,0.18,12.2,0.15,4.94,12.16,68,462,1.803030303030303,2,4.9723225030084235
74.0,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,62,46,0.15,0.12,7.7,0.16,3.144,7.75,151,922,2.022776572668113,6,4.891220320265047
75.0,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,99,56,0.28,0.17,10.4,0.16,4.224,10.38,149,934,1.9346895074946466,5,5.0042168674698795
76.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,51,44,0.07,0.16,13.1,0.17,5.308,13.07,100,601,1.913477537437604,3,5.001904761904762
77.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,26,52,-0.33,0.08,16.4,0.18,6.632,16.45,178,987,2.139817629179331,1,5.225863077823289
78.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,36,61,-0.26,0.18,11.1,0.17,4.508,11.08,90,532,2.0169172932330826,5,5.025316455696203
79.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,68,78,-0.07,0.24,8.5,0.18,3.472,8.51,110,621,1.9468599033816425,37,4.8075
80.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,37,33,0.06,0.12,16.0,0.2,6.48,16.03,116,593,2.045531197301855,12,4.962385321100918
81.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,38,53,-0.16,0.13,12.9,0.19,5.236000000000001,12.89,138,722,1.9986149584487534,3,5.271562766865927
82.0,https://insights.blackcoffer.com/travel-and-tourism-outlook/,8,5,0.23,0.14,9.3,0.16,3.7840000000000007,9.3,15,93,1.6989247311827957,2,4.46448087431694
83.0,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,41,56,-0.15,0.16,10.0,0.2,4.08,9.98,118,589,1.9168081494057725,13,4.815426997245179
84.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,21,34,-0.24,0.16,10.2,0.16,4.144,10.21,57,347,1.930835734870317,4,5.03921568627451
